title,lat,lon,avg_price,capacity
Pizza? Si!,55.789993,37.634192,1350,
Pizzamento,55.763996,37.607459,2000,30
Plaza garden,55.754025,37.557417,1300,70
Poetica.Moscow,55.768264,37.642581,,
Pono place,55.762492,37.637265,,60
Popmeal,55.762951,37.635385,1350,
Portovino Cigar Lounge,55.775331,37.67239,5000,25
Premiere cafe,55.732957,37.637124,1000,25
Presnya club,55.754166,37.551815,500,
Prime,55.750122,37.536971,,
Prime,55.723907,37.651474,,40
Prime,55.778326,37.585616,,10
Prime,55.772574,37.631705,400,20
Prime,55.796613,37.581909,490,40
Prime,55.751652,37.534401,500,
Prime,55.759056,37.624863,850,
Prime,55.725724,37.545447,300,15
Prime,55.756606,37.563696,550,
Prime,55.720209,37.628787,300,
Prime,55.720008,37.605524,400,20
Prime,55.762556,37.607815,500,22
Prime,55.728356,37.620047,400,
Prime,55.747425,37.535054,400,20
Prime,55.725559,37.643569,500,20
Prime,55.730591,37.635289,650,36
Prime,55.724136,37.564475,300,
Prime,55.726134,37.577776,300,24
Prime,55.781446,37.582471,400,
Prime,55.738899,37.65918,550,35
Prime,55.762769,37.56527,300,
Prime,55.769506,37.65016,750,58
Prime,55.734399,37.568498,350,55
Prime,55.76565,37.63895,750,40
Prime,55.744758,37.630661,300,20
Prime,55.753878,37.662717,,
Prime,55.742583,37.652165,500,20
Prime,55.774225,37.674181,400,60
Prime,55.782064,37.598325,450,18
Prime,55.74662,37.536414,500,40
Prime,55.758616,37.657285,420,25
Prime,55.760776,37.662503,500,35
Prime,55.770282,37.62079,500,52
Prime,55.732771,37.644208,300,29
Prime,55.74989,37.537406,300,17
Prime,55.74569,37.663512,350,15
Prime,55.773389,37.620748,500,32
Prime,55.761945,37.622775,500,30
Prime,55.771182,37.590487,600,88
Prime,55.762569,37.683685,300,20
Prime,55.728673,37.645025,500,30
Prime,55.771864,37.649187,1000,24
Prime,55.796137,37.599562,500,60
Prime,55.762126,37.658796,350,32
Prime,55.778984,37.587323,650,64
Prime,55.750462,37.653212,300,
Prime,55.760334,37.614295,550,
Pro.Шашлык,55.753398,37.598026,,
Prolunch,55.730388,37.636088,550,80
Prolunch,55.738546,37.63709,400,30
Pronto pizza,55.741378,37.658457,1100,150
Proshashlyk.ru,55.725689,37.667508,250,
Pshur,55.762645,37.557034,550,15
Pub Daddy,55.764721,37.701003,1200,80
Pub no pub,55.741505,37.652941,1450,120
Quidi,55.762255,37.595626,,
Ra`men,55.768881,37.679327,,
Ra`men,55.737467,37.628448,1400,75
Ra`men,55.761725,37.63303,1400,46
Ra`men,55.755266,37.665231,1400,65
Ra`men,55.772133,37.61966,1400,65
Rainbow pub,55.790659,37.677819,1500,48
Ramen ten,55.782874,37.600852,1500,80
Ramen ten,55.774339,37.604322,1000,50
Ramen ten,55.758618,37.641262,950,46
Raw to go,55.778927,37.589736,800,20
Raw to go,55.763237,37.593315,900,22
Raw to go,55.771085,37.620095,,
