lat,lon,price_per_m2,building_type,object_type,levels,ads_count
55.489009,37.335124,207172.81357881048,0,1,16,9
55.489085,37.312594,194033.1950207469,2,1,3,2
55.489141,37.303746,236196.3190184049,1,1,12,1
55.489147,37.302219,291666.6666666667,2,1,17,2
55.489259,37.333444,217743.5185185185,0,1,14,3
55.489575,37.338672,198820.0,0,1,13,5
55.489815,37.312325,52945.06949040371,2,1,5,1
55.490034,37.312774,162990.19607843136,4,1,3,1
55.490447,37.307124,314048.26958105643,0,1,17,2
55.490554,37.312972,216169.59400769655,2,1,4,2
55.490585,37.297512,246888.54466338104,2,1,16,3
55.49061,37.308848,214877.9054236681,0,1,17,3
55.490616,37.334765,200900.0,0,1,14,3
55.490784,37.309836,172201.55519388255,0,1,17,2
55.49085,37.305605,213885.61320754717,1,1,9,2
55.490993,37.312972,195876.28865979382,4,1,5,1
55.491222,37.337199,203105.08441727166,0,1,14,9
55.491615,37.335726,218005.07412326676,2,1,14,4
55.491625,37.306108,229166.66666666666,0,1,5,1
55.491936,37.555247,210000.0,2,1,14,1
55.492217,37.314822,228434.58860409493,3,1,17,9
55.492314,37.55496,224452.55474452555,1,1,14,1
55.492926,37.300386,224093.26424870465,3,1,16,1
55.492997,37.50531,211304.74737254094,3,1,4,4
55.49312,37.554169,209917.35537190083,0,1,18,1
55.493436,37.318415,238724.22475374953,2,1,19,7
55.493461,36.917803,244648.31804281342,2,1,3,1
55.493502,37.551564,290000.0,0,1,21,2
55.493686,36.918288,230555.55555555556,1,1,3,1
55.493793,37.299632,174431.06616679823,2,1,18,4
55.493895,36.917165,152500.0,1,1,3,1
55.494007,37.55487,236986.301369863,2,1,22,1
55.494027,36.917803,246105.91900311527,0,1,3,1
55.49414,37.552031,207321.66818435895,0,1,17,6
55.494221,37.300242,246542.2276621787,0,1,17,2
55.494226,37.261705,152505.44662309368,4,1,3,1
55.494369,37.325512,267551.5863306419,3,1,3,2
55.494507,37.308525,219035.84962800343,0,1,4,4
55.494599,37.553262,204108.69565217392,0,1,21,1
55.494787,36.916868,148738.37981407702,3,1,3,1
55.494803,37.556002,204280.23427100157,2,1,20,4
55.494884,37.308013,198123.9419553699,0,1,4,5
55.49493,37.515874,330006.1587140153,2,1,15,3
55.495098,37.554439,204678.78076148444,2,1,21,4
55.495435,37.308929,197512.80175566935,3,1,3,1
55.495772,37.520689,294224.26055819885,0,1,14,2
55.495823,37.303521,158536.58536585365,0,1,3,1
55.495879,37.326922,202991.452991453,4,1,3,1
55.4960194079608,37.5245604887047,264437.7415057419,2,1,12,5
55.496083,36.914874,159005.37634408602,3,1,3,2
55.496083,36.91588,133382.7893175074,3,1,3,1
55.4962,37.544737,160843.0338325014,2,1,3,1
55.496266,37.543659,214107.14285714287,0,1,4,1
55.496322,37.325216,267857.14285714284,4,1,3,1
55.496414,37.520258,300988.8687113264,0,1,11,2
55.496445,37.323976,326876.51331719133,4,1,3,1
55.496552,36.92163,178160.91954022986,1,1,3,1
55.496572,36.917542,222222.22222222222,0,1,3,1
55.496577,36.918351,213333.33333333334,0,1,3,1
55.496659,37.515407,338403.0418250951,2,1,14,1
