lat,lon,price_per_m2,levels,ads_count
55.553793,37.429106,953.8461538461538,3,1
55.553809,37.502534,1823.3374133006937,14,3
55.553824,37.505409,1883.9285714285713,16,2
55.55389,37.463933,1984.6618638159423,15,2
55.5539,37.553981,1761.3636363636365,33,2
55.554073,37.474534,1724.8307894748455,18,13
55.554104,37.500234,1907.860824742268,9,2
55.55417,37.506684,1571.4285714285713,15,1
55.554236,37.465838,1564.7777379542129,16,5
55.554384,37.513467,1450.214555404501,14,3
55.554557,37.557682,1971.8344843068458,33,5
55.554629,37.465173,1508.8235294117649,15,2
55.555,37.467221,2054.611668524712,15,7
55.555052,37.555621,1671.7627054067573,16,6
55.555082,37.499201,2272.727272727273,16,1
55.555138,37.505112,1467.2934991406328,14,3
55.555347,37.506969,1538.4615384615386,17,1
55.555474,37.499776,1666.6666666666667,17,1
55.555784,37.514033,1393.1623931623933,14,3
55.55611,37.500908,2172.275765348922,16,6
55.556385,37.500216,1440.6209536123527,9,5
55.556421,37.316026,1578.6908614578517,10,3
55.55663,37.507098,1623.1015615454976,17,5
55.556737,37.313061,1421.8792355651938,9,3
55.556874,37.510736,1514.4931033743057,8,3
55.55722,37.311283,1730.7692307692307,8,1
55.557246,37.500405,2001.8810233883764,9,8
55.557286,37.559083,1500.0,26,1
55.557729,37.315649,1100.9174311926606,10,1
55.55777,37.555023,1328.1749157879256,31,3
55.557867,37.314768,1603.0377668308702,9,2
55.557959,37.509855,2020.0,15,2
55.557969,37.557116,1541.3350449293966,26,5
55.558585,37.503316,1703.4389459150061,14,5
55.558641,37.559308,1468.3557877116473,23,4
55.559237,37.577822,1606.3218390804598,11,3
55.55941,37.34709,1165.644171779141,9,2
55.559593,37.506244,1599.3654866140228,16,7
55.559746,37.575639,1696.969696969697,11,1
55.559832,37.585206,1166.6666666666667,17,1
55.560316,37.57908,1512.4555160142347,16,1
55.560321,37.58376,1261.8674331504226,17,2
55.560586,37.585601,1421.8009478672984,17,1
55.5608,37.498393,833.3333333333334,11,1
55.560866,37.57793,1417.4484052532835,20,2
55.561105,37.582745,1126.7605633802816,17,1
55.561385,37.474111,3000.0,2,1
55.561568,37.502157,1838.044338044338,8,4
55.561925,37.582215,1396.6480446927376,17,1
55.562755,37.50275,1250.0,15,1
55.562968,37.500504,1520.8333333333335,16,2
55.563213,37.487523,1290.3225806451612,15,1
55.563757,37.498617,1837.6111885114135,16,4
55.563813,37.503343,1330.0822336966914,14,2
55.563905,37.582224,1153.8461538461538,17,1
55.564394,37.581227,1125.0,17,1
55.564409,37.500917,1621.6216216216217,12,1
55.564516,37.487047,1076.923076923077,16,1
55.564811,37.499004,1388.888888888889,12,1
55.564969,37.579672,1277.9552715654952,17,1
55.565162,37.574929,1322.751322751323,17,1
55.565208,37.477085,1750.0,24,1
55.565213,37.493317,1500.915750915751,17,2
55.565336,37.47889,1638.9201743784458,25,5
55.565397,37.470338,1354.1666666666667,17,1
