club_key,green_pct
dostretch_новоясеневскийпроспект20,14.57611
dostretch_ореховыйпроезд39а,16.990076
dostretch_улицаадмираларуднева2,44.565575
dreamfit_головинскоешоссе5к1,0.0
dreamfitcycle_кировоградскаяулица11к1,1.783646
dreamslim_зеленоградк1824,1.332943
dreamteamlab_3япесчанаяулица2а,7.978769
drfit_улица8марта6аст1,3.983302
drozdboxingclub_улицаострякова7,11.836346
drumdifire_дмитровскоешоссе71б,5.057115
dsport_глазовскийпереулок5,0.678541
duelclub_пятницкаяулица71/5ст6,0.125707
dvininaschwert_улицадекабристов27,3.561288
eastwest_улицаусачёва3,13.445902
easyfitness_улицамаршалановикова2к2,32.11273
easyupstudio_авиационнаяулица57,1.532209
eclub_улицалётчикаульянина5,42.204077
ecofitness_вернадскогопроспект94к2,2.273066
ecofitness_проспектвернадского94к2,2.273066
elasticity_большаямарфинскаяулица4к3,1.703067
elasticity_кастанаевскаяулица39,3.507066
elasticity_улицащипок13ст1,1.02274
elasticplace_улицаберзарина16,14.6235
element_коломенскаяулица1,9.032684
elevenfit_ферганскийпроезд10аст3,1.178851
eliagrazia_новочерёмушкинскаяулица44к2,0.617406
elitboxing_волгоградскийпроспект4а,1.607059
elitboxing_ленинградскийпроспект31аст1,3.793731
elkas_улицамусыджалиля27к2ст2,3.910587
ems20_красноказарменнаяулица14ак5,1.669926
emsdance_андроповапроспект22,1.693098
emsdance_болотниковскаяулица8к1,1.166663
emsdance_проспектандропова22,1.693098
emsdance_судостроительнаяулица28к1,0.0
emsfitnesspro_ильменскийпроезд14к3,0.0
emsloft_улицаархитекторавласова20,4.795616
emsportal_малаяброннаяулица31/13,13.219733
emsportal_улицамалаябронная31/13,13.219733
emspro_ильменскийпроезд14к3,0.0
emsстудия_перовскаяулица50к1,1.649659
encorefitness_1йкрасногвардейскийпроезд21ст2,0.294091
encorefitness_новоясеневскийпроспект9,6.355876
encorefitness_улицаавиаконструкторасухого2к1,1.60054
endlessfitness_лётнаяулица95бк2,0.177469
endorphin_ленинградскийпроспект29к4,3.793731
endorphin_шмитовскийпроезд39к2,0.0
energy_проезддежнёва29к1,46.666216
energy_сельскохозяйственнаяулица35,48.043985
energy_улицадекабристов27,3.561288
energy_улицакраснаясосна2а,3.471561
energyup_улицауточкина7к3,2.862641
energyzone_ботаническаяулица10,8.538541
energyzone_ботаническаяулица8,8.538541
enheldome_казарменныйпереулок3,0.676335
enpointe_лялинпереулок1/36ст2,1.338194
enwell+kids_9яулицасоколинойгоры6,3.387857
equilibriumems_профсоюзнаяулица68к2,0.023635
equilibriumems_улицаярцевская27к8,22.126708
equilibriumems_улицаярцевская27к9,22.126708
equilibriumems_ярцевскаяулица27к8,22.126708
erёmenkodojo_профсоюзнаяулица124а,0.0
erёmenkodojomoskovsky_улицахабарова2,7.430038
escalada_улицагубкина6к1,3.906586
escalada_улицалиповыйпарк2а,0.775871
esports_миклухомаклаяулица21к1,77.740934
essentia_большойзлатоустинскийпереулок5ст3,3.749068
essentia_ленинскийпроспект16,15.206677
essentia_угрешскаяулица2ст53,0.735023
estetica_улицамихайлова30ак1,4.016718
everybody_нижняякрасносельскаяулица35ст7,1.175408
evolution_1ялеоноваулица18,59.152259
evolvegym_дербеневскаянабережная7ст6,0.672331
examplesport_головинскоешоссе5,0.0
expressfitness_алтуфьевскоешоссе72,1.042275
eywafitnessнealthspa_погодинскаяулица2,14.340889
eywawellness_погодинскаяулица2,14.340889
f45training_большойстароданиловскийпереулок2ст9,3.307094
f45training_краснопролетарскаяулица16ст1,19.885328
facebody_проспектвернадского105к4,1.762525
familyclub_зеленоградк619,38.831276
familyfitness_дубнинскаяулица6,1.548435
famladys_дубнинскаяулица26а,0.0
fanteria_улицасущёвскийвал10аст3,12.66874
farteamclub_микрорайонсеверноечертаново1а,15.388052
fastbody_пресненскаянабережная12,0.294091
fastbody_проспектмира26ст1,10.235993
fastbody_таганскаяулица2527,14.316199
fastbоdy_грохольскийпереулок8/3ст1,17.396981
fastbоdy_пресненскаянабережная12,0.294091
fastbоdy_проспектмира26ст1,10.235993
fastbоdy_таганскаяулица2527,14.316199
feelfitfeelhome_улицаборисовскиепруды8а,16.07981
fencingleague_ленинградскоешоссе39ст53,16.763047
fencingleague_новодмитровскаяулица5аст2,1.316913
fencingpro_большаякосинскаяулица5а,5.846425
fencingpro_улицакулакова20к1,2.785229
fgr_гамсоновскийпереулок2ст1,3.307094
fgr_улицасолнечная3аст2,14.171999
fgr_ясеневаяулица26,0.826176
fiestafit_улицаарсюкова5а,18.820069
fightclub_новоостаповскаяулица5ст2,4.662419
fightcorp_измайловскийпроезд5а,3.426578
fightingsportarts_южнопортоваяулица5ст1,0.0
fightland_аллеявитте1,17.705346
fightleader_новотушинскийпроезд10к2,0.0472
